player_name,pitch_type,stuffGrade,nPitches
Andre Jackson,CH,48.672879675391776,162
Andre Jackson,FF,44.440518156484075,149
Andre Jackson,SL,41.244495954814006,35
Andre Pallante,CU,39.84628291107754,292
Andre Pallante,FF,47.50157757818113,963
Andre Pallante,SI,40.434968921130995,162
Andre Pallante,SL,50.756428872890346,345
Andre Scrubb,FC,50.512623394760325,443
Andre Scrubb,KC,51.188193022355804,374
Andre Scrubb,SL,52.91935000341922,19
Andres Machado,CH,50.25613586454829,232
Andres Machado,FF,46.81156438927477,693
Andres Machado,SI,53.32196255148734,466
Andres Machado,SL,49.78780015202626,336
Andres Munoz,FF,59.14931664469323,408
Andres Munoz,SL,66.27592776923757,716
Andrew Albers,CH,47.22860346563589,53
Andrew Albers,CU,29.280113893066613,25
Andrew Albers,FF,45.66543894121169,116
Andrew Albers,SI,44.54153817810091,117
Andrew Albers,SL,39.1488383908522,54
Andrew Bellatti,CH,43.42315877359297,77
Andrew Bellatti,FF,51.22709111597549,463
Andrew Bellatti,SL,50.59296934303796,600
Andrew Chafin,FF,41.81766385403912,672
Andrew Chafin,SI,49.99966546524086,911
Andrew Chafin,SL,52.06151027081255,640
Andrew Heaney,CH,51.66086537963415,664
Andrew Heaney,CU,41.166967544329566,757
Andrew Heaney,FF,51.50398804968867,2765
Andrew Heaney,SL,51.50747149078873,437
Andrew Kittredge,CH,46.50451779183022,11
Andrew Kittredge,FF,51.887538839217484,153
Andrew Kittredge,SI,60.69508472908839,614
Andrew Kittredge,SL,57.58902050123886,609
Andrew Miller,FF,38.49487835427486,176
Andrew Miller,SI,49.7778751752442,147
Andrew Miller,SL,47.20003165330209,558
Andrew Nardi,CH,39.4338848757212,19
Andrew Nardi,FF,52.37817625213661,237
Andrew Nardi,SL,49.81199224437799,118
Andrew Suarez,CH,39.12104434892274,37
Andrew Suarez,FF,38.198463320330994,42
Andrew Suarez,SI,40.01591270161836,20
Andrew Suarez,SL,40.65503922536527,55
Andrew Triggs,CU,31.403733088891805,39
Andrew Triggs,SI,48.74661877436967,70
Andrew Triggs,SL,50.894557330938284,50
Andrew Vasquez,CU,42.720487050820815,131
Andrew Vasquez,SI,53.44546092617772,47
Andrew Wantz,CH,52.67983822685415,83
Andrew Wantz,FC,52.57954390665209,286
Andrew Wantz,FF,48.196721508278465,641
Andrew Wantz,SL,47.5248945190037,323
Aneurys Zabala,CH,59.29051186239149,15
Aneurys Zabala,FF,55.64110801723129,22
Angel De Jesus,SI,50.9937963448004,106
Angel De Jesus,SL,52.908162203062254,79
Angel Perdomo,CH,53.19522860245121,47
Angel Perdomo,FF,58.51108738299619,288
Angel Perdomo,SL,59.95162604451719,103
Angel Rondon,CH,40.517070938938716,23
Angel Rondon,FF,42.33090385308279,61
Angel Rondon,SL,39.3278543194325,30
Angel Zerpa,CH,39.07572089292378,30
Angel Zerpa,FF,42.62531488438919,119
Angel Zerpa,SI,43.91972697988989,20
Angel Zerpa,SL,44.69159182490207,57
Anibal Sanchez,CH,45.8598266843884,399
Anibal Sanchez,CU,45.7596416648373,133
Anibal Sanchez,FC,43.871994099482265,576
Anibal Sanchez,FF,39.75014454149352,487
Anibal Sanchez,FS,51.061292752123656,283
Anibal Sanchez,SI,37.9357238737477,334
Anibal Sanchez,SL,43.95820999335479,86
Anthony Banda,CH,48.72638321923621,502
Anthony Banda,CU,39.75656466054015,136
Anthony Banda,FC,42.882184949750325,13
Anthony Banda,FF,46.74325933284607,527
Anthony Banda,SI,52.14718419760008,114
Anthony Bass,FF,40.97298936945442,179
Anthony Bass,FS,47.749674859623035,71
Anthony Bass,SI,46.81753208830921,931
Anthony Bass,SL,54.29579084559956,1186
Anthony Bender,CH,55.474390551963985,22
Anthony Bender,FF,47.18630958750395,17
Anthony Bender,SI,53.56165209501371,664
Anthony Bender,SL,55.046122536552126,539
Anthony Castro,CH,48.82484980149376,13
Anthony Castro,FF,56.93950495239644,344
Anthony Castro,SI,49.033205662736414,28
Anthony Castro,SL,59.32497481129526,342
Anthony DeSclafani,CH,46.33472536564714,348
Anthony DeSclafani,FF,46.53580287734319,991
Anthony DeSclafani,KC,40.98747911538621,317
Anthony DeSclafani,SI,49.66661322448097,723
Anthony DeSclafani,SL,48.66687265875674,1306
Anthony Gose,FF,60.14885025265402,332
Anthony Gose,SL,57.15615690389607,158
Anthony Kay,CH,40.71171306236442,160
Anthony Kay,CU,38.444549149216954,175
Anthony Kay,FC,51.670329166994904,101
Anthony Kay,FF,48.5000026518802,656
Anthony Kay,SL,44.66171654750319,70
Anthony Misiewicz,CU,56.83492898131518,557
Anthony Misiewicz,FC,51.43058109758202,689
Anthony Misiewicz,FF,42.956265195912046,571
Anthony Swarzak,FF,44.33244842549689,85
Anthony Swarzak,SL,49.914918336688416,108
Antonio Santos,CH,48.0377823915367,45
Antonio Santos,CU,40.395916827887646,30
Antonio Santos,FF,42.02234073199137,175
Antonio Santos,SI,47.776958191838645,15
Antonio Santos,SL,43.17757879456056,44
Antonio Senzatela,CH,45.7730747648507,382
Antonio Senzatela,CU,41.918757032372426,339
Antonio Senzatela,FF,44.117481751167176,2762
Antonio Senzatela,SI,38.339310243332235,114
Antonio Senzatela,SL,46.15425617058634,1454
Archie Bradley,CH,46.66814607036709,211
Archie Bradley,FF,44.8857305931041,691
Archie Bradley,KC,36.588127985368516,285
Archie Bradley,SI,48.6086698338662,323
Ariel Jurado,CH,34.87259397496296,13
Ariel Jurado,FF,26.757369420784684,19
Ariel Jurado,SI,46.014166056006786,23
Ariel Jurado,SL,45.83574143490164,26
Arodys Vizcaino,FF,53.2761011847107,65
Arodys Vizcaino,SL,53.66050170506279,45
Aroldis Chapman,FF,64.03489441138368,1140
